keyword,region,text,created_at,source,sentiment_label,sentiment_score
,,广东 高校 太 男生 跑步 火焰 运动会 场上 广东 学子 离弦 之箭用 速度 激情 点燃 青春 火炬 一滴 汗水 梦想 执着 追求 奖杯 实在 太燃 广东 学子 时刻 广东 工业 大学 广州 校园 微博 视频,,,1,1
,,广州 校园 超话 广东 高校 太 高跟鞋 闪亮 校园 走秀 中广工 学子 身着 华 服用 自信 风采 诠释 青春 多样 魅力 一步 走出 时尚 步伐 实在 太 好看 广东 学子 时刻 广东 工业 大学,,,1,1
,,广州 校园 超话 广东 高校 太 男生 跑步 火焰 运动会 场上 广东 学子 离弦 之箭用 速度 激情 点燃 青春 火炬 一滴 汗水 梦想 执着 追求 奖杯 实在 太燃 广东 学子 时刻 广东 工业 大学 广州 校园 微博 视频,,,1,1
,,广州 校园 超话 广东 高校 立冬 情书 调色盘 画笔 立冬 色彩 落叶 金黄 天空 湛蓝 雪花 洁白 画笔 捕捉 美丽 瞬间 冬天 单调 调色盘 落叶 揭秘 广东 立冬 关键词 广东 工业 大学 广州 校园 微博 视频,,,1,1
,,大学城 独无 江景 小筑 心目 中 独无 生活 松弛 感是 心怀 热爱 职业 见 欢喜 伴侣 温馨 舒适 窝 优美 风景 俯瞰 江水 滔滔 品味 岭南 情韵 自然 人文 完美 融合 宁静 舒适 植被 环绕 三叶草 远离 尘嚣 有雾 奢享 时光 配 智能 便利 拎包 即可 入住 行李箱 配备 智能 家具 管家 全天 服务 生活 还给 墨镜 笑脸 卡片 索引 地址 广州市 番禺区 大学 城外 环 西路 号 岭南 印象 园旁 纵向 红绿灯 交通 方式 地铁 广州 大学城 南站 乘坐 地铁 号线 公交车 岭南 印象 园站 下车 楽 隅 广州 大学城 广州美术学院 超话 广东 工业 大学 超话 生活 大学 生活 超话 独居 超话,,,1,1
,,广东 工业 大学 考研 超话 深耕 精益求精,,,1,1
,,产品 远销 美国 日本 迪拜 俄罗斯 增城 一家 企业 登上 央视 第届 广交会 印度 采购商 体验 贝乐 按摩椅 感叹 道 按摩椅 太棒了 增城 新质 生产力 企业 贝乐 广州 智能 信息 科技股份 有限公司 简称 贝乐 智能 登上 央视 月 日 东方时空 聚焦 广交会 新质 生产力 新质 生产力 科技 创新 广州市 重点 代表 企业 贝乐 智能 按摩椅 新质 生产力 闪耀 第届 广交会 融入 智能家居 品牌 出海 广东 工业 大学 凌永权 博士 科技成果 高质量 转化 产业化 发展 产品 远销 美国 日本 迪拜 俄罗斯 增城 一家 企业 登上 央视,,,1,1
,,湾 创技 转荟 大湾 区 中心 举办 东风 日产 广东 工业 大学 成果 需求 对接 月 日 大湾 区 科技 创新 服务中心 自研 湾 创 成果 转化 程序 成功 东风 日产 广东 工业 大学 举办 线 三方 供需 对接 本次 对接 成功 举办 彰显 湾 创 成果 转化 平台 推动 科技成果 转化 需求 对接 卓越 成效 企业 高校 院所 构建 对接 真实 技术 需求 优质 科技成果 推动 项目 供需 信息 高效 精准 对接 创新型 线上 资源 平台 持续 导入 优质 科技成果 转化 资源 极大地提高 科技成果 能见度 推动 科技 协同 创新 产业 高质量 发展 深度 融合 湾 创技 转荟 大湾 区 中心 举办 东风 日产 广东 工业 大学 成果 需求 对接,,,1,1
,,华为 招聘 数最多 十所 双非 院校 杭州 电子科技 大学 杭州市 重庆 邮电大学 重庆市 南京 邮电大学 南京市 桂林 电子科技 大学 桂林市 西安 邮电大学 西安市 山东 科技 大学 青岛市 广东 工业 大学 广州市 上海理工大学 上海市 深圳大学 深圳市 燕山大学 秦皇岛市,,,1,1
,,城事 多名 广工 学子 走进 中山 翠亨 新区 月 日 粤港澳 大湾 区 高校 翠亨智 通车 系列 活动 广东 工业 大学 专场 翠亨 新区 吸引 多名 广东 工业 大学 计算机 学院 材料 能源 学院 机电 工程学院 师生 参与 活动 精准 搭建 校企 沟通 平台 旨在 吸引 更 优秀 青年才俊 前来 中山市 及翠亨 新区 创业 就业,,,1,1
,,越秀 播报 越秀区 首批 利用 自有 用地 增建 公共 停车场 近日 广州市 规划 自然资源 局 越秀区 分局 核发 广东 工业 大学 东风路 校区 动物园 南门 公交站 场 两个 立体 停车库 项目 建设工程 规划 许可证 新增 公共 停车位 缓解 停车 难题 这是 越秀区 首批 自有 用地 增建 公共 停车场 项目 落实 市政府 解决 停车难 实际行动 网页 链接 海马 体 创始人 发声,,,1,1
,,华南 师范大学 周年 校庆 年前 勷 勤 最初 足迹 年 后华师 荣光 无数 学子 绽放 智慧 之花 无数 英杰 展翅 翱翔天际 九 十一岁 壮志凌云 二零 二四 岁月 再添 华彩 广东 工业 大学 祝 华南 师范大学 九 十一岁 生日快乐 愿 两校 友谊 长存 携手 同行 共创 辉煌,,,1,1
,,发布 头条 文章 广东 工业 大学 会计 专硕 就业 质量 下降 广东 工业 大学 超话 会计 专硕 超话 综超话 管理 类 联考 超话 广东 工业 大学 会计 专硕 就业 质量 下降,,,1,1
,,广东 工业 大学 超话 有没有 体测 缺项,,,1,1
,,广工 超模 冠军 学校 展演 余套 新潮 服饰 惊艳 亮相 广东 工业 大学 名校 约 微博 视频,,,1,1
,,月 日 粤港澳 大湾 区 高校 翠亨智 通车 系列 活动 广东 工业 大学 专场 翠亨 新区 吸引 多名 广东 工业 大学 计算机 学院 材料 能源 学院 机电 工程学院 师生 参与 校企 联动 广聚 英才 多名 广工 学子 走进 中山 翠亨 新区,,,1,1
,,广东 工业 大学 超话 崇拜 崇拜 奖学金 涨 崇拜 崇拜 奖学金 涨,,,1,1
,,出 广东 时尚 世界 超模 冠军 云集 广工 好看 年 世界 模特大赛 中国区 总决赛 冠军 陈栩蔚 第届 世界 精英 模特大赛 中国 男模 冠军 陈绍涵 年 世界 文化 旅游 大使 总决赛 中国 赛区 冠军 翟衍华 月 日 下午 点 世界 超模 冠军 回到 母校 广东 工业 大学 开启 一场 时尚 盛宴 南方日报 微博 视频,,,1,1
,,封面 广东 工业 大学 秦玉文 综述 少模 掺 铒 光纤 放大器 增益 性能 调控 封面 广东 工业 大学 秦玉文 综述 少模 掺 铒 光纤 放大器 增益 性能 调控 封面 生动 直观 展示 广东 工业 大学 秦玉文 教授 课题组 对少模 掺 铒 光纤 放大器 增益 性能 调控 研究 主题 图中 模式 转换 增益 调节 功能 卡通人物 环绕 广州 塔 光纤 跑道 上推 模式 图案 球 前行 代表 模式 光 光纤 传播 初始 球 大小不一 寓意 模式 光 信号 功率 各异 调控 后球 大小 象征 对少模 掺 铒 光纤 放大器 增益 性能 调控 模式 光 信号 功率,,,1,1
,,高校 人才 招聘 广州 身边 事 教师 广州 华立 学院 学位 硕士 招聘 岗位 高层次 人才 专任教师 应聘 条件 广州 华立 学院 年 教师 招聘启事 学校 介绍 广州 华立 学院 原 广东 工业 大学 华立 学院 建于 年 年 教育部 批准 广东省 第一批 独立 学院 全面实施 本科 教育 年经 教育部 同意 转设 广州 华立 学院 学校 现有 广州 增城 江门 银 湖湾 两个 校区 校园 占地近 亩 一所 工学 经济学 管理学 文学艺术 学 教育学 学科 协调 发展 毕业生 就业率 位居 省内 高校 前列 应用型 本科 大学,,,1,1
,,硕果累累 广东 挑战杯 国赛 再创 历史 新高 本届 挑战杯 竞赛 中 广东省 聚焦 新质 生产力 校赛 省赛 激烈 角逐 共 高校 件 作品 参与 国赛 最终 金奖 银奖 铜奖 广东 工业 大学 华南理工大学 深圳 职业 技术 大学 高校 捧得 优胜 杯 广东省 专项 赛道 优异成绩 秦创原 创新 挑战赛 获国赛 金奖 银奖 铜奖 一带 一路 国际 邀请赛 获国赛 金奖 银奖 铜奖 硕果累累 广东 挑战杯 国赛 再创 历史 新高,,,1,1
,,广东 工业 大学 超话 学校 田雨 求 问 双手 合十,,,1,1
,,高考 志愿 填报 指南 超话 年 广东 工业 大学 自动化 学院 有位 本科生 成功 录取 华南理工大学 真牛,,,1,1
,,广东 工业 大学 考研 超话 月 日,,,1,1
,,产教 科教 共融 大湾 区 养老 家政 产教 融合 共同体 深圳 成立 月 日 消息 日 大湾 区 养老 家政 产教 融合 共同体 成立 大会 深圳 会展中心 旨在 贯彻落实 粤港澳 大湾 区 一老 一小 发展 战略 提升 湾区 高品质 民生 服务水平 盛会 深圳市 幸福 健康 产业 集团 有限公司 广东 工业 大学 广东省 外语 艺术 职业 学院 发起 吸引 家 政府 机构 院校 行业 企业 代表 出席 商讨 养老 家政 人才培养 行业 高质量 发展 华夏 医界,,,1,1
,,挺巧 广东 工业 大学 龙洞 校区 超话,,,1,1
,,广东 工业 大学 超话 往届 学长 学姐 珠海 考广工 金融 专硕 考点,,,1,1
,,广东 工业 大学 超话 快 薅 羊毛 淘宝 店 明年 关张 粤语 卡通片 卖 一元 朋友 赶紧 抢 搜索 淘宝 木村 怡怡 元店 自动 发货,,,1,1
,,高考 志愿 填报 指南 超话 软科 中国 学科 排行榜 发布 广州大学 表现 第一 上榜 学科 数量 广州大学 有个 学科 上榜 位列 全国 高校 第位 位列 双非 院校 第位 仅次于 深圳大学 土木工程 网络空间 公共 管理学 学科 成功 入围 中国 一流 学科 全国 前 遗憾 学科 中国 顶尖 学科 第三 全国 前 学科 地理学 统计学 心理学 数学 环境 科学 工程 工商管理学 经济学 马克思主义 理论 第四 广东 高校 广州大学 上榜 学科 华南 师范大学 并列 广东 高校 第位 仅次于 中山大学 暨南大学 深圳大学 华南理工大学 力压 广东 工业 大学 华南农业大学 第五 本次 排行榜 广州大学 整体 表现 不错 两大 短板 一是 一流 学科 偏少 二 热门 学科 热门 工科 较少 学校 招生 负面影响,,,1,1
,,初试 广东 工业 大学 设计 学 设计 历史 理论 华研 辅导 圣考 资料网 考研 登陆 广东 工业 大学 研究生 院校 资料 历年 真题 研究 方向 参考书目 复试 分数 报录 信息 供 参考 最新 版本 请点 网页 链接,,,1,1
,,广东 工业 大学 超话 金 历史 突破 广东 第一 金 历史 突破 广东 第一,,,1,1
,,广东 工业 大学 超话 网络 暴民 不到 朱令案 真凶 是狈志城 追着 骚扰 孙维及 室友 金亚 教授 近 二十年,,,1,1
,,月 日 华电 韶关 公司 前往 广东 工业 大学 年 第一站 校园 专场 招聘 工作,,,1,1
,,参赛 球队 巡礼 月 日日 世界各地 支 男女 篮球队 齐聚 厦门 争夺 年 篮球 世界杯 国际 大体 联三对 三 篮球 世界杯 华侨大学 清华大学 广东 工业 大学 云南 师范大学 校园篮球,,,1,1
,,浙江 财经大学 五十周年 校庆 春秋 代序 华章 日新 云程 发 轫 万里 期望 过往 筚路蓝缕 矢志不渝 展 未来 潮平岸 阔风 正帆 悬浙 财有 五 秩正 风华 广东 工业 大学 祝 浙江 财经大学 周岁 生日快乐 愿 两校 友谊 长存 携手 共进,,,1,1
,,从南 国会 酒店 穿过 大学城 穗 石村 城中村 华南理工大学 大学 小筑 楼宇 到达 广东 工业 大学 历时 三 十五分钟 微微 出汗 广州 大学城 广州 广东 工业 大学 大学城 校区,,,1,1
,,出摊 大学城 校区 操场 点 走 广东 工业 大学 景德镇 陶瓷 手链 广州 广东 工业 大学 大学城 校区,,,1,1
,,助力 大熊猫 保护 研究 新 突破 识别 场景 大熊猫 追踪 进食 食物 细节 大熊猫 饲养员 迎来 重磅 升级 近日 中国 大熊猫 保护 研究 中心 广东 工业 大学 腾讯 云 联合 人工智能 大熊猫 保护 探索 项目 新 突破 识别 场景 大熊猫 追踪 大熊猫 进食 食物 类别 识别 准确率 均 超过 你好 人工智能 时代 此前 广东 工业 大学 信息 工程学院 电子 信息工程 班 中国 大熊猫 保护 研究 中心 腾讯 云 支持 指导 打造出 全球 首个 大熊猫 智能 识别 模型 智慧 系统 识别 圈养 大熊猫 进食 喝水 睡觉 日常行为 饲养员 精细 呵护 大熊猫 健康 项目 指导老师 广东 工业 大学教授 博士生 导师 蔡念 介绍 近期 算法 识别 模型 研究 新 突破 室内 光线 较暗 夜晚 栏杆 遮挡 场景 识别 大熊猫 意味着 全 场景 大熊猫 智能 识别 识别 出 大熊猫 进食 识别 基础 上能 进一步 追踪 识别 进食 食物 种类 时间 包括 竹子 竹叶 人工 辅食 大熊猫 日常 管理 保护 带来 精准 数据 支持 期间 腾讯 云 公有 云 人工智能 开发 服务平台 一站式 研发 管理 平台 产品 资源 项目组 提供 底层 算力 训练 环境 部署 数据 标注 模型 训练 全 链路 技术 平台 支持 助力 项目组 学生 缩短 算法 模型 训练 时 长 加速 成果 落地 算法 系统 公开 一项 国家 发明专利 专利申请 实质 审查 阶段 雷锋 网 丫丫 没 脖子 新浪 人工智能 微博 视频,,,1,1
,,广东 工业 大学 超话 广东 工业 大学 超话 第一次 签到 爱 初体验,,,1,1
,,广东 工业 大学 浙江工业大学 两个 普本 就业 不错 技术 氛围 不错 适合 理科 娃,,,1,1
,,进 园区 走 企业 授 校园 推广 大使 禅城 政 校企 精准 对接 活动 月 日 月 日暖 心 家园 禅 未来 年政 校企 精准 对接 活动 禅城区 华南理工大学 广东 工业 大学 暨南大学 多家 省内外 知名 院校 代表 走进 禅城 重点 园区 企业 体验 岭南文化 魅力 感受 禅城 宜居 宜业宜 创新 城市 环境 氛围 网页 链接,,,1,1
,,广东 工业 大学 超话 就业 直通 卓越 班 年度 招生 启动 就业 直通 卓越 班 年度 招生 启动,,,1,1
,,广东 工业 大学 超话 高分 秘籍 有没有 感叹 疑问号 高分 秘籍 有没有 感叹 疑问号,,,1,1
,,广东 工业 大学 超话 广工 确认 广工 确认,,,1,1
,,广东 工业 大学 超话 崇拜 全国 典型 全省 唯一 崇拜 全国 典型 全省 唯一,,,1,1
,,本科 广东 工业 大学 肯德基 麦当劳 海底 捞 学校 学校 差距,,,1,1
